region1,region2,Distance
NZ Canterbury,NZ Canterbury,0.0099540086
NZ Auckland,NZ Canterbury,0.0182750584
NZ Auckland,NZ Canterbury,0.0177068383
NZ Auckland,NZ Canterbury,0.0188685156
NZ Auckland,NZ Canterbury,0.0194921182
NZ Auckland,NZ Canterbury,0.0189087619
NZ Auckland,NZ Canterbury,0.0218873558
NZ Auckland,NZ Canterbury,0.0218873558
NZ Canterbury,NZ Canterbury,0.0099540086
NZ Canterbury,NZ Canterbury,0.0093665315
NZ Canterbury,NZ Canterbury,0.0182750584
NZ Canterbury,NZ Canterbury,0.0182750584
NZ Canterbury,NZ Canterbury,0.0189199428
NZ Canterbury,NZ Canterbury,0.0099540086
NZ Canterbury,NZ Canterbury,0.0099540086
NZ Canterbury,NZ Canterbury,0.0099540086
NZ Canterbury,NZ Canterbury,0.0182750584
NZ Canterbury,NZ Canterbury,0.0182686355
NZ Canterbury,NZ Canterbury,0.0099791465
NZ Canterbury,NZ Canterbury,0.0105453747
NZ Canterbury,NZ Canterbury,0.0005813954
NZ Auckland,NZ Canterbury,0.0176755379
NZ Auckland,NZ Canterbury,0.0171069582
NZ Auckland,NZ Canterbury,0.0182686355
NZ Auckland,NZ Canterbury,0.0188907952
NZ Auckland,NZ Canterbury,0.0183074389
NZ Auckland,NZ Canterbury,0.0212834910
NZ Auckland,NZ Canterbury,0.0212834910
NZ Canterbury,NZ Canterbury,0.0093633411
NZ Canterbury,NZ Canterbury,0.0087762127
NZ Canterbury,NZ Canterbury,0.0176755379
NZ Canterbury,NZ Canterbury,0.0176755379
NZ Canterbury,NZ Canterbury,0.0183182580
NZ Canterbury,NZ Canterbury,0.0093633411
NZ Canterbury,NZ Canterbury,0.0093633411
NZ Canterbury,NZ Canterbury,0.0093633411
NZ Canterbury,NZ Canterbury,0.0176755379
NZ Canterbury,NZ Canterbury,0.0176694743
NZ Canterbury,NZ Canterbury,0.0093867293
NZ Canterbury,NZ Canterbury,0.0099540086
NZ Canterbury,NZ Canterbury,0.0000000000
NZ Canterbury,NZ Canterbury,0.0005813954
NZ Auckland,NZ Canterbury,0.0005813954
NZ Auckland,NZ Canterbury,0.0000000000
NZ Auckland,NZ Canterbury,0.0011630445
NZ Auckland,NZ Canterbury,0.0017474892
NZ Auckland,NZ Canterbury,0.0011655017
NZ Auckland,NZ Canterbury,0.0171047812
NZ Auckland,NZ Canterbury,0.0171047812
NZ Canterbury,NZ Canterbury,0.0170710302
NZ Canterbury,NZ Canterbury,0.0164786492
NZ Canterbury,NZ Canterbury,0.0005813954
NZ Canterbury,NZ Canterbury,0.0005813954
NZ Canterbury,NZ Canterbury,0.0011661813
NZ Canterbury,NZ Canterbury,0.0170710302
NZ Canterbury,NZ Canterbury,0.0170710302
NZ Canterbury,NZ Canterbury,0.0170710302
NZ Canterbury,NZ Canterbury,0.0005813954
NZ Canterbury,NZ Canterbury,0.0005813109
NZ Canterbury,NZ Canterbury,0.0141227691
NZ Canterbury,NZ Canterbury,0.0176694743
NZ Canterbury,NZ Canterbury,0.0170767354
NZ Canterbury,NZ Canterbury,0.0176755379
NZ Canterbury,NZ Canterbury,0.0170767354
NZ Auckland,NZ Canterbury,0.0005827506
NZ Auckland,NZ Canterbury,0.0000000000
NZ Auckland,NZ Canterbury,0.0011657562
NZ Auckland,NZ Canterbury,0.0017495274
NZ Auckland,NZ Canterbury,0.0011682248
NZ Auckland,NZ Canterbury,0.0171452353
NZ Auckland,NZ Canterbury,0.0171452353
NZ Canterbury,NZ Canterbury,0.0171113238
NZ Canterbury,NZ Canterbury,0.0165175357
NZ Canterbury,NZ Canterbury,0.0005827506
NZ Canterbury,NZ Canterbury,0.0005827506
NZ Canterbury,NZ Canterbury,0.0011661813
NZ Canterbury,NZ Canterbury,0.0171113238
NZ Canterbury,NZ Canterbury,0.0171113238
NZ Canterbury,NZ Canterbury,0.0171113238
NZ Canterbury,NZ Canterbury,0.0005827506
NZ Canterbury,NZ Canterbury,0.0005826657
NZ Canterbury,NZ Canterbury,0.0141560914
NZ Canterbury,NZ Canterbury,0.0177112039
NZ Canterbury,NZ Canterbury,0.0171170562
NZ Canterbury,NZ Canterbury,0.0177172964
NZ Canterbury,NZ Canterbury,0.0171170562
NZ Canterbury,NZ Canterbury,0.0000000000
NZ Auckland,NZ Canterbury,0.0011661813
NZ Auckland,NZ Canterbury,0.0005837712
NZ Auckland,NZ Canterbury,0.0017495274
NZ Auckland,NZ Canterbury,0.0023339810
NZ Auckland,NZ Canterbury,0.0017533624
NZ Auckland,NZ Canterbury,0.0177469201
NZ Auckland,NZ Canterbury,0.0177469201
NZ Canterbury,NZ Canterbury,0.0177112039
NZ Canterbury,NZ Canterbury,0.0171170562
NZ Canterbury,NZ Canterbury,0.0011661813
NZ Canterbury,NZ Canterbury,0.0011661813
NZ Canterbury,NZ Canterbury,0.0017502935
NZ Canterbury,NZ Canterbury,0.0177112039
NZ Canterbury,NZ Canterbury,0.0177112039
NZ Canterbury,NZ Canterbury,0.0177112039
NZ Canterbury,NZ Canterbury,0.0011661813
NZ Canterbury,NZ Canterbury,0.0011657562
NZ Canterbury,NZ Canterbury,0.0147541776
NZ Canterbury,NZ Canterbury,0.0183118046
NZ Canterbury,NZ Canterbury,0.0177172964
NZ Canterbury,NZ Canterbury,0.0183182580
NZ Canterbury,NZ Canterbury,0.0177172964
NZ Canterbury,NZ Canterbury,0.0005827506
NZ Canterbury,NZ Canterbury,0.0005827506
